BasePriceLabel,BedrmCt,RegionID,SizeRank,RegionName,StateName,State,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020
BR002RG0026213,2,26213,1509,Northglenn,Colorado,CO,Denver-Aurora-Lakewood,Adams County,129702,131364,133092,134461,136139,137857,139574,141684,143630,145813,147704,149985,152082,154019,155517,156943,158380,159777,160799,161413,162377,163414,164297,164647,164743,164919,165120,165749,166755,167825,168907,169637,170106,170458,171090,171643,172119,172541,173309,173857,173355,172606,171908,171804,172028,172183,172281,172589,172997,173636,173624,173431,173623,174198,174708,175024,174916,174869,174604,174415,174210,173950,173781,173555,173406,173106,173184,172629,172356,171766,171869,171353,171071,170131,170521,170756,170685,169883,168928,169375,169579,170111,169563,169436,168821,168828,167391,166379,165619,165261,164684,162775,160756,158525,157051,155981,155098,153828,152520,151383,150218,149559,148730,148526,148969,149622,149702,149277,148509,148111,147655,147197,147835,148398,149323,149467,149346,148871,148864,149328,150876,152226,153937,155064,154703,153615,152145,151551,150388,149415,148411,147218,145401,143751,142616,141635,140700,139892,139420,138829,138855,139001,139476,140333,140992,141559,141654,142507,143910,145878,147659,149385,151384,153625,155607,156621,158196,160281,162969,164850,166526,167810,169684,172094,174078,175748,176988,178987,180778,181864,182248,182717,183940,186141,188458,189979,191547,193163,195473,197839,200536,203601,207319,211083,213877,216018,217379,219911,222474,225550,228082,230200,231563,233333,234951,237764,240835,243742,247257,250075,252662,254836,257736,260962,263921,265916,268323,269940,272181,274544,277019,279127,281317,283193,284068,285872,289052,293115,296336,299360,302438,305325,307188,308648,309781,311522,313622,314697,314247,314699,314732,314842,313809,313973,314305,314950,315392,316332,317234,318392,320151,321047,322730,324737,327578,329737,332413,335353
BR002RG0012817,2,12817,1716,Montrose,Colorado,CO,Montrose,Montrose County,105936,106935,107925,108502,109078,109575,110198,110929,111783,112720,113512,114282,114823,115415,115969,116619,117332,117901,118365,118589,118938,119189,119500,119732,120133,120481,120765,121074,121396,121854,122162,122492,122638,122896,123083,123321,123367,123514,123697,123986,124027,124032,124056,124513,125054,125640,126052,126415,126725,127113,127507,127961,128457,128991,129619,130110,130762,131405,132184,132900,133984,135021,135849,136507,137144,138013,138741,139466,140127,140911,141736,142877,143881,144895,146376,147622,149417,150595,151966,152768,153538,154121,154718,155091,155423,155826,155893,156297,156228,156508,156762,157427,157819,158015,158121,158086,157732,157196,156842,156600,156280,156008,155681,155433,155305,155146,154874,154604,154547,154440,154176,153786,153385,152876,152208,151467,150721,150104,149626,149285,149160,149107,148958,148569,148163,147809,147505,147108,146707,146393,146054,145597,144622,143640,142834,142414,142205,141962,141833,141824,141870,141825,141710,141650,141857,142066,142294,142449,142555,142798,143024,143354,143681,144128,144691,145329,146038,146776,147458,148165,148886,149541,150230,150918,151696,152447,153087,153822,154608,155507,156364,157201,157935,158757,159579,160443,161301,162286,163417,164526,165543,166604,167744,168849,170170,171427,172681,173715,174804,175791,176864,177684,178676,179419,180338,181102,181775,182348,182849,183494,184031,184568,184934,185461,186014,186816,187417,188080,188568,189201,189929,190647,191436,192321,193479,194795,195908,196683,197460,198203,199128,199848,200624,201368,202109,202917,204027,205106,205969,206552,207029,207590,208263,209055,209764,210399,211014,211604,211739,211763,212015,212573,213207,213734,214066,214319,214534,214773
BR002RG00119842,2,119842,1733,Ken Caryl,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,127222,128764,130054,131292,132462,133944,135172,136611,138381,140571,142796,144686,146411,147946,149525,151205,152650,153734,154721,155523,156230,156733,157022,157308,157512,157897,158181,158462,159075,159617,160239,160531,160833,161052,161305,161249,161301,161355,161941,161834,161503,161142,161029,161075,161206,161335,161851,162253,162320,162253,162066,162841,163352,163898,164039,164288,164353,164432,164270,164506,164928,165299,165511,165435,165423,165195,165236,165294,165460,165747,166066,166363,166432,166386,165958,165225,164960,164907,164692,164253,163741,163218,162692,162643,162507,162102,161720,161483,161499,161530,162053,162251,162141,161663,161178,160257,159816,159510,159508,159970,159817,159615,158083,157396,157003,156917,156589,155921,155609,155496,155412,154581,153578,152904,153219,153329,153350,153363,153541,154063,154010,154335,154323,154048,153802,153131,152472,151569,150543,149394,148282,147201,146285,145011,143813,143142,142333,141831,141121,140882,140736,140808,140629,140665,140556,140307,140396,140849,142329,143508,144861,145485,146629,147755,149499,150754,152212,153834,155813,157535,158602,159713,160956,162896,164159,165179,165755,167009,167902,169145,169721,170515,171442,172857,174474,175445,176944,178696,181167,183188,186165,188531,191050,193130,195806,198641,200969,203812,206526,209654,212000,214726,216408,218517,220760,223611,225999,228064,231031,234401,237252,239289,241319,243509,246082,248999,252146,255197,257768,259586,260418,260707,261904,263742,265956,268123,270637,272866,274773,276109,277486,279530,281451,283091,284568,285927,287796,287907,287533,287745,288206,289288,289506,290443,290929,291523,291424,291801,291673,292835,294164,295118,296039,296811,298402,299349,300964,302841
BR002RG00396536,2,396536,1817,Security-Widefield,Colorado,CO,Colorado Springs,El Paso County,109745,110053,110473,110907,111203,111433,111826,112407,113036,113551,114055,114788,115627,116547,117272,118288,119370,120816,122386,123805,124954,125609,126274,126871,127622,128133,128568,128754,128960,128846,128666,128504,128807,129229,129557,129677,129879,130147,130649,130953,131494,131864,132372,132791,133138,133607,134158,134697,134843,135056,135168,135462,135377,135518,135840,136124,136125,136049,136118,136534,137094,137688,138239,138937,139726,140484,140805,141451,142521,143755,144612,144926,145240,145479,145928,146189,146807,147460,148497,148911,149016,148777,148713,148814,149147,149479,149730,149845,149885,149604,148636,147786,146907,146358,145969,145903,145500,144869,143892,142929,141625,140202,139708,139716,139779,139269,138253,137151,136067,135186,134344,134105,133874,134303,133989,133647,133148,132947,133232,133578,133758,133783,133796,133714,133669,133300,132837,131714,130475,129250,127961,126419,125386,124597,124377,123763,123172,122330,121756,121701,122061,122848,123509,124280,124925,125446,125349,125130,124992,125399,125717,125904,125898,125668,125510,125182,124687,124448,124631,124885,125226,125276,125574,126065,126650,127138,127588,128041,128835,129285,129919,130422,130996,131683,132747,133592,134426,135158,135849,137090,138082,139070,139441,140195,141254,142120,142686,143197,143841,144659,145816,146627,147276,148537,150059,151983,152948,154512,155600,157044,158347,159633,160915,162227,164043,165355,166859,167721,169246,170455,172391,174206,175659,177228,178822,180883,182082,183331,184515,186516,188677,190854,192775,194519,196384,198260,199811,201244,203295,205715,207580,208047,208877,210884,213343,215344,216899,218712,220751,222607,224267,225638,227386,229931,231893,232880,233404,234370
BR002RG0050547,2,50547,1880,Wheat Ridge,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,141467,143440,145052,146632,148198,149954,151532,153314,155335,157812,160279,162480,164437,165936,167394,169114,170576,171987,173288,174717,175997,177054,177785,178365,178922,179694,180405,180724,181389,181936,182751,182885,182997,182953,183116,183107,183306,183663,184525,184811,184644,184203,183836,183754,183894,184064,184896,185517,185760,185595,185506,186393,187357,188415,189112,189885,190500,191137,190967,191223,191586,192154,192610,192775,192675,192260,192076,192194,192181,192615,193389,194085,194380,194363,193551,192504,192324,192952,193592,193511,193368,192714,191892,191631,191434,191104,191059,191175,191120,190739,190681,190661,190334,189890,189234,187910,187039,186218,185790,185555,185283,184714,183308,182982,183073,182923,182606,182446,182959,183482,184147,184115,183847,183861,184309,183866,183217,183160,183744,184464,184267,184869,184671,184643,183882,182817,181662,180729,179981,179309,178556,177747,176665,174687,173031,171787,170761,170048,169133,168626,168283,167571,166837,166152,166451,166943,167633,168544,170613,172786,175298,176826,178429,180557,182980,185003,186761,188961,191949,194491,196345,197522,198865,201160,203339,205114,206337,208488,209936,211585,212087,213257,214616,217202,220059,222225,224276,226238,228996,231311,234854,237539,240437,242817,245746,248752,251184,254368,257393,261145,264058,267423,270136,273690,277682,281459,284791,287050,290837,294673,298922,302455,306239,309991,313384,316874,320500,324680,328273,331449,333231,334630,336737,339491,342427,345149,347459,349511,351229,353541,356675,361155,364706,367097,368792,370214,372502,372570,373478,375317,377371,379084,378685,378722,378492,379507,380020,381471,382043,384466,386660,388321,390094,391867,395198,397851,401680,405470
BR002RG004790,2,4790,2104,Fountain,Colorado,CO,Colorado Springs,El Paso County,117168,117547,117888,118472,118939,119412,120165,120848,121717,121913,122343,123111,124534,125876,126980,127811,128492,129226,130500,132045,133508,134360,134998,135549,135926,136172,136463,136922,137637,138161,138278,138317,138376,139132,139588,139621,139562,139448,139884,140111,140235,140294,140068,139626,139211,139026,139449,140005,140586,141277,141603,142090,142619,143447,144983,146227,147365,147703,148181,148764,149302,149789,150133,150551,150813,150932,150613,151086,152046,153466,154125,154468,154928,155294,156077,156626,157622,158457,159420,159986,160009,159952,159967,160203,160512,160880,161348,161749,162074,162351,162319,162041,161360,160642,160160,159654,158737,157677,156140,154286,151882,149428,147534,145893,144989,144194,142832,141944,141048,140833,139952,139882,139926,140133,139881,139555,139283,138391,138834,138642,138649,137557,137553,137766,138251,138764,139179,139133,138676,138724,137529,135977,134536,134302,133853,132431,130590,129073,127325,126306,125036,124459,124127,124508,124766,123933,122622,122166,122552,123010,123840,123926,124067,123093,122748,122447,122151,122642,123838,124143,123668,122565,121949,122142,122660,123717,124283,124782,125691,126361,126595,126872,127246,128094,128791,129382,130212,130917,131608,132517,133121,133645,133952,134752,136162,137133,137956,138513,139135,139994,140956,141582,142080,143027,144476,146285,147509,149400,151034,152708,153898,155025,156368,157934,159952,161648,163354,164546,166019,167299,168985,170819,172524,174282,176177,178035,179198,180306,181524,183335,185283,187049,188648,189912,191828,194113,196196,197920,199582,201142,202474,203247,204368,206415,208547,210845,212301,213676,215052,216701,218658,220765,222950,225351,227315,228609,229821,231048
BR002RG0045470,2,45470,2300,Golden,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,151752,153863,155286,156718,158032,159756,161632,163526,165667,168159,171052,173204,175170,176655,178170,179612,180695,181476,182313,183001,184036,185016,185654,186555,187114,188139,189253,190617,192511,194276,195932,197050,197468,197862,198465,198718,198860,198862,199544,199315,198534,197576,197006,196905,197281,197240,197587,197911,198640,199066,199482,200800,202251,203762,204574,205553,206482,208155,209072,209966,210332,210743,210885,210826,210804,210484,210840,211018,211297,211613,212356,213359,214267,215401,215763,215698,215920,216186,216237,216013,216261,215727,215228,215198,215399,214886,214405,214295,214194,214732,215830,216817,216451,216306,216147,215458,214753,214255,214442,215057,215946,216632,215830,215489,215392,215369,214916,214323,214409,214480,214966,214221,213178,212072,211756,211597,211714,211686,211372,211529,211624,212867,212956,213394,213097,212867,212741,212036,210829,209740,209697,209544,208894,207147,206386,206055,205739,204348,202933,202303,203083,204173,204763,205270,205409,205855,205576,206033,207520,210383,212779,214537,215950,217727,219809,221159,223434,225504,228747,230684,232517,233773,235912,238083,239721,240359,240760,242508,243949,246304,247602,249309,250929,252193,253688,254842,257160,259979,263397,266329,270170,272934,276071,279241,282938,288678,293856,299822,303677,307703,310998,314695,316977,319760,322709,325923,328408,329934,332278,335647,339421,343149,346665,350029,353252,357141,360923,365092,368945,371546,372858,372046,372753,374038,376164,378190,380179,381808,383246,385363,388008,391480,395022,399013,403443,406746,410150,410760,411567,412656,414652,416455,416961,418097,418634,419718,419447,420315,420626,423159,425674,428020,429855,431458,433992,436062,438989,441886
BR002RG0024634,2,24634,2318,Evergreen,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,188857,191327,193585,196055,197642,198899,199872,201620,203915,206009,208260,210088,212189,213137,213671,214151,215283,216368,216967,216970,217747,219288,219765,219196,218664,219727,221301,222607,223737,224477,225740,226460,226836,226163,226629,228424,230323,231397,232268,232476,232494,232315,232075,232577,232409,232497,232969,233118,233247,232580,232197,232895,233850,235910,237672,239062,240328,242314,243394,244330,244648,246158,247365,248416,248768,248068,247653,247395,248198,248411,249169,249723,250890,251322,251345,250437,250417,250974,251907,252322,251635,250894,250264,250656,250476,250074,249987,250783,251553,251971,251982,252717,254081,255927,256352,256167,255549,255649,255574,256172,256313,256594,256073,256403,256196,255212,254283,252961,253453,253016,252682,251005,249726,248873,248387,246234,244478,242846,242383,241390,239704,239087,238878,238406,237507,235925,234517,233336,231757,230805,229997,230339,230310,229541,228629,228203,227562,226481,225980,226377,227745,228318,228075,227267,226593,225991,225562,225372,226192,227969,229592,230435,230431,231147,232357,233470,234660,236447,238266,240085,241284,242693,243823,245056,246146,247019,248318,250503,252200,253486,254014,255088,255893,257155,258729,260572,262982,265638,268500,270948,274444,277646,281356,284235,288673,291927,295289,298416,301862,304800,306867,308905,310910,313373,316345,319380,321297,323088,325026,328185,330817,333662,336142,339343,341657,344405,346513,349495,352361,355273,357529,357984,359252,360990,363708,365551,367571,369654,372236,374717,377538,381075,384126,387460,390811,394393,398243,400095,401433,403207,405237,407830,408386,409692,410064,411307,411298,411732,411445,412982,415051,416665,417991,418763,421055,422455,425069,427354
BR002RG00119404,2,119404,2378,Columbine,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,131687,133156,134540,136111,137469,139003,140320,141949,143743,145826,148002,150121,152065,153625,155200,156629,158036,159009,160011,160976,161867,162556,162955,163315,163693,164212,164616,164892,165450,166099,166966,167244,167545,167754,168173,168308,168384,168519,169207,169650,169762,169625,169487,169699,170044,170221,170680,170934,171110,171104,170862,171139,171147,171444,171573,171865,171935,172170,172112,172585,173078,173502,173798,173968,174453,174629,174792,174738,174970,175341,175793,175914,175992,176096,175709,175009,174453,174184,174152,174051,173780,173403,173065,173259,173089,172591,172530,172690,173114,173399,173863,174227,174136,173823,173301,172635,172610,172587,172357,172125,171686,171281,169946,168762,168008,167322,166865,165989,165089,164419,164015,163570,162845,162288,162301,162624,162830,163165,163090,163396,163548,163973,164256,164213,163913,163111,162099,160879,159599,158371,157760,157022,156347,155317,154038,153129,152332,152038,151893,151846,151983,151970,151383,150755,149962,149600,149778,150322,151548,152519,153333,153914,154883,156336,158125,159679,161719,163487,165776,167533,168930,170402,172372,174934,176923,178343,179313,180824,181734,183235,183982,185115,186394,187963,189739,190607,191792,193231,195936,198544,202045,204767,207496,209977,212712,215738,218249,221308,224430,227794,230458,233429,235594,238078,240467,243410,246284,248782,251691,254954,257737,260208,262384,264523,266819,269486,272533,275276,277364,279027,280279,281207,282596,284342,286185,288101,290383,292366,294296,295877,297977,300478,302775,304696,306572,307972,309685,309757,309270,309616,310165,311326,311362,311796,311996,312016,311610,311780,312000,313428,315152,316365,317481,318474,320365,322034,324255,327084
BR002RG006030,2,6030,2598,Monument,Colorado,CO,Colorado Springs,El Paso County,155004,155155,155786,156345,156862,157258,158104,159224,160307,161131,161902,163105,164599,166133,167158,168231,169244,170468,171701,172739,173891,174862,175859,176537,177169,177677,178088,178453,179143,179947,180699,181170,181547,181890,182015,182391,182664,182818,182971,182849,182379,181590,181039,181171,181873,182461,182854,182590,182480,182761,183028,183360,183772,184393,185271,185459,184762,184197,184853,186031,187079,187346,188095,189000,190075,191431,192582,194177,196161,197838,198474,198940,199315,200201,200842,201476,202061,202214,202479,202725,203078,203636,203829,203859,204285,204821,205567,205855,206407,206767,206800,206332,205626,204443,203952,203540,203242,202463,201097,199586,198041,196421,195404,194146,193667,193313,192310,191110,189182,188325,187841,188494,188543,188954,188385,188328,187289,186636,186952,188097,189303,189239,188290,186420,184901,183955,183887,183889,183260,182714,181362,179842,178817,178209,178343,178888,179299,178561,176620,175102,175414,175657,175968,175647,175114,174561,173951,173558,173639,174796,177140,178617,179322,179397,179935,180425,181577,183390,185560,187209,188171,188398,187952,188099,187790,188372,188883,189796,190086,189814,189729,189609,189554,189870,190919,192098,193677,194958,195655,196884,197723,198639,198600,198993,200648,201998,203076,203336,203991,204736,206132,206714,207635,209052,211405,213715,214464,215526,216948,219323,221405,223047,224748,227213,229944,232115,233705,235491,238290,240992,243291,245340,247154,249617,252027,254076,255905,257634,259878,262163,264460,266518,267727,268298,269191,270507,272041,273428,274649,275580,275727,275673,275930,277354,279443,281714,283633,285079,286365,287775,289310,291199,293509,295883,297785,298839,299838,301021
BR002RG0012834,2,12834,2776,Morrison,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,182924,185760,187952,189760,191127,192731,194057,195404,196883,199152,201816,204118,206034,207661,209367,211184,213027,214775,216515,217707,219184,220159,220661,220940,221329,222141,222885,223793,225116,226153,227204,228062,228824,229619,230817,231474,231883,231788,232774,232803,232467,231712,231182,230922,230645,230376,230684,231177,231615,232075,231985,233204,233894,235499,236721,238371,239534,240767,240858,241328,241700,242455,243312,243680,244473,244543,245027,245070,245587,246337,248053,249570,251062,251629,251250,250206,249751,249671,249422,248816,247884,246927,245900,245916,245723,245476,245567,246282,246759,246955,247368,248575,249657,250345,250007,248981,248445,248428,248860,249775,250497,250970,250276,249586,249147,248401,247926,247114,246877,246136,244915,242691,241088,240595,241010,240532,239654,239211,239298,239531,239433,240480,241898,242867,242409,241108,239848,238930,238082,237244,236728,236035,235106,233237,231549,230631,230000,228986,228087,228130,229013,229432,228890,228556,228048,227715,227122,227386,228942,231367,233342,234181,234427,235770,237908,239783,241949,244405,247704,249920,251493,252800,254602,256759,258873,260310,261608,263653,265010,266698,266975,268370,269575,271526,273530,275474,277394,279519,282382,284957,289145,291936,295398,297756,301234,303973,306558,309483,313104,316678,319056,321626,323267,326135,329148,332491,334727,336776,339401,342512,344670,346470,348666,351193,354306,357888,361556,364666,367271,369325,371087,372263,375024,378166,381256,383893,384552,385038,385468,388137,391740,396249,399341,401163,402539,404139,407089,407613,408923,410810,413327,415603,416273,417854,418717,420202,420358,421676,421967,424285,426962,429214,431109,432270,434491,435811,438627,441913
BR002RG0012251,2,12251,2824,Lafayette,Colorado,CO,Boulder,Boulder County,158898,160543,162240,164101,165721,167516,169770,172948,175613,178506,180458,183015,184894,187244,189166,191149,193517,195991,198307,200133,201841,203115,204276,205076,205371,205202,205805,206892,207703,207635,207425,207037,207149,207164,207784,207581,208506,208523,208229,207240,206497,206182,205960,206233,206496,206451,205815,206119,206040,207202,207669,207750,207705,207847,208461,208580,208076,207814,207752,207663,207859,207121,207536,207919,208833,209584,209609,209603,209498,210508,211627,211956,211681,211935,212031,212892,213534,213868,213312,212668,212958,212587,212201,212052,212740,213252,213625,213757,213517,213378,213481,214186,214756,215068,214591,213965,212779,212363,211826,211691,210882,210577,210607,210667,209601,209123,208926,209343,208944,208551,207929,207180,207141,207048,207959,208354,209507,209571,210181,210310,211809,211926,212295,211996,212020,211345,210088,209260,208591,208681,208262,208461,207899,207655,206958,206521,206351,207131,207702,208038,207915,206940,206609,206221,206874,207952,209610,211565,212156,211580,210433,209836,210010,211471,212726,213912,214644,215845,216447,216489,217639,219908,223574,226144,228551,230250,232029,232714,233023,233587,235397,238428,240529,242263,243110,245082,246800,249018,251053,254281,257720,261479,264750,267369,271388,276034,281415,286586,291913,296998,302322,308589,315164,319170,322751,326191,330475,333916,337091,340040,342897,345798,348536,349707,350837,353968,357583,360919,361652,362998,364270,366589,368807,370759,372714,375122,376630,377555,377784,379457,382523,385424,387741,388066,388902,390952,392888,393536,394097,395865,398283,399576,400284,400542,400577,401260,402002,401935,401928,402931,404403,404873,405069,405452,406110,407083,408555,410309
BR002RG0051948,2,51948,2916,Evans,Colorado,CO,Greeley,Weld County,134886,135702,136006,136220,136607,137663,138786,139869,140492,141573,142662,144081,145631,146957,148275,149545,150805,151663,152017,152656,154018,155563,156674,157477,157797,158359,159323,160607,162073,163195,164364,165395,166178,166698,167260,168128,169156,170033,170522,170934,170989,171429,171762,172264,172357,172592,172983,173442,173796,174201,174412,174490,174568,174703,175191,175396,175964,176117,176156,175984,175852,175777,176127,176545,176621,176207,175688,175736,175670,175735,175741,175750,175820,175836,175536,175047,174594,174407,173833,173281,172717,172154,171432,170317,169988,169439,169374,168300,168259,168077,168539,166766,164386,161852,160131,159297,157054,154992,152086,151255,150024,148479,146193,145323,145509,145679,145266,144118,143466,142519,142055,140806,138682,137370,136467,136600,135898,134870,133245,131845,130462,129401,128287,127459,127589,126886,125789,123857,122601,122030,121965,121621,121116,120776,120857,120215,119224,118614,118598,118412,117882,117471,117553,118218,119253,119995,119766,119664,119493,120079,120422,121339,122419,123575,124237,124601,124802,125344,126958,129083,131723,133498,135637,137191,138908,140050,141406,142660,144237,145860,147231,148637,149683,151238,152493,154102,155371,156987,158872,161213,163247,165185,167163,168605,170045,171329,172989,174792,176423,178484,180110,181488,182537,183545,184699,186361,188118,190066,191899,193790,196137,197987,200207,202230,204846,207315,209334,211439,213908,216188,218033,219408,221257,222894,224478,226650,229006,231534,234139,236960,239784,242159,244768,247320,249047,251093,252795,254633,255944,257137,258232,258926,259434,260591,261341,262388,263388,264465,265754,266601,267561,268500,269536,270687,271851,272734,273875,274870
BR002RG0019107,2,19107,3044,Louisville,Colorado,CO,Boulder,Boulder County,168815,170637,172441,174274,175847,177848,180566,184290,187377,190198,191741,193516,194994,197390,199884,202249,204915,207649,210226,211872,213270,214649,216400,218305,219310,219574,219782,220448,221013,220264,219149,218084,218471,219189,220416,220480,221379,221311,221436,220927,220613,221284,222211,223417,223462,222995,221617,221483,221469,222813,223297,223708,224146,224400,224691,224786,225005,225390,226582,227442,228106,227505,227882,228187,228929,229886,230583,231254,231688,233106,234113,234422,234467,235410,236438,237892,239190,239819,240149,239941,240905,240369,240095,239702,240346,240810,241361,241837,241789,242074,241735,242292,242257,242992,243127,243514,243390,243671,243445,244057,243998,244500,245154,246125,246124,247031,247569,248499,247891,248344,248545,248311,248359,248431,249815,250438,251502,251085,251557,252175,254154,253490,253693,253039,253514,252550,251642,251423,251465,252085,252002,252530,252704,253482,253056,253195,253473,254880,254876,254111,253488,252148,252132,251354,251568,252876,254876,257279,257560,257578,257855,258646,259582,261390,263043,265318,267770,269669,270914,270745,272971,275623,279796,283346,287526,291365,294209,295160,295418,296500,299422,303900,306887,308727,309313,310988,312374,314775,317612,321571,325103,328884,332135,334907,338770,345097,352416,359255,364937,369823,374787,381513,389048,394040,397484,400645,405653,409416,412709,415188,417810,420297,422520,423243,423427,426009,430077,434689,434663,434287,433763,435506,437944,439442,441617,443061,444929,445776,446901,448592,452630,455874,458614,459508,460940,464663,467548,469875,470564,472388,473406,474183,474320,475648,476799,477635,477936,476744,476283,476847,478554,479503,480669,481633,482855,483738,485145,487373
BR002RG00120381,2,120381,3178,Sherrelwood,Colorado,CO,Denver-Aurora-Lakewood,Adams County,136587,138709,140986,143871,146826,149507,151439,154008,156686,159463,161578,163881,166208,168285,169949,170888,171764,172800,174060,175070,175996,176844,177835,177868,177634,177390,177868,178746,179735,180589,181360,181935,182505,183295,184072,184905,185425,186381,187224,187996,187866,187761,187592,187822,188272,188624,188839,189362,189717,189942,189694,189566,189818,190206,190651,190874,190591,190204,189969,189912,190436,190641,190579,189705,189616,189634,190111,189848,190076,189985,190582,190214,189949,189071,190113,191207,191181,189824,187752,187186,186101,185424,183041,182187,181092,180856,177650,175167,172806,171466,170461,167851,165233,162254,161152,159168,156256,152870,151302,149671,148358,147132,145724,145347,145027,145637,144647,143964,143432,143526,143180,143178,143873,144659,145808,146289,147175,146595,147124,147574,149455,150847,152329,153130,153396,153175,152775,152094,150793,150003,149213,148885,147913,147268,146523,145386,143323,141062,138441,137133,136804,137300,137689,137394,137374,136886,136778,137524,139517,142294,145809,148665,150828,152279,153432,154902,156950,159892,162516,164102,165308,166625,167634,168802,170059,171997,174197,176621,177340,177622,177534,178986,180778,183211,185915,188106,190749,193037,195793,198385,201697,205400,210194,214751,218083,219977,222101,226153,230062,233678,236076,238541,240942,243558,245765,247994,251167,254950,258612,260440,261698,263502,266830,270173,272931,274241,276105,277598,279729,281781,283693,285887,288613,291119,292472,294106,297456,301763,305371,308705,311935,314885,317512,319622,321144,322790,325085,326950,326866,327709,327852,328660,328054,328959,329332,329671,329811,330452,331119,331995,333704,334648,336537,338311,341220,343302,346221,349685
